FID,CH4,latitude,longitude,State
62483,1.95785601,39.28863193,-102.9074094,Colorado
62489,1.95584486,39.28903785,-102.9052061,Colorado
62495,1.93734516,39.28926944,-103.7914003,Colorado
62501,1.95756858,39.28958292,-102.902255,Colorado
62507,1.93413419,39.28996335,-103.7926252,Colorado
62513,1.93461736,39.29031117,-103.7932345,Colorado
62519,1.95574531,39.29060631,-102.8967294,Colorado
62525,1.95772413,39.29101117,-102.8945368,Colorado
62531,1.95773211,39.29135312,-102.8927101,Colorado
62537,1.95796713,39.29162113,-102.8912545,Colorado
62543,1.95777729,39.29195952,-102.8894444,Colorado
62549,1.95700765,39.29229738,-102.8876399,Colorado
62555,1.95699402,39.29263131,-102.8858214,Colorado
62561,1.95175557,39.29300275,-102.4530357,Colorado
62567,1.95108213,39.29301358,-102.4541432,Colorado
62573,1.9513391,39.29305839,-102.4507983,Colorado
62579,1.95358039,39.29311877,-102.4566984,Colorado
62585,1.95325689,39.29317311,-102.4574237,Colorado
62591,1.95237156,39.29327033,-102.4585113,Colorado
62597,1.95596257,39.29333874,-102.8810158,Colorado
62603,1.95598496,39.29344127,-102.8798875,Colorado
62609,1.95443837,39.29349344,-102.8791369,Colorado
62615,1.95094908,39.2935208,-102.6597696,Colorado
62621,1.95256882,39.29352446,-102.6619921,Colorado
62627,1.95197654,39.29352722,-102.6627448,Colorado
62633,1.9468322,39.29352967,-102.6535091,Colorado
62639,1.95296448,39.29353328,-102.6638831,Colorado
62645,1.94871053,39.29353723,-102.6564919,Colorado
62651,1.95167722,39.2935449,-102.6665408,Colorado
62657,1.94635975,39.29355052,-102.6501525,Colorado
62663,1.97126676,39.29355419,-102.461476,Colorado
62669,1.95308556,39.29357569,-102.6721713,Colorado
62675,1.95966652,39.29358956,-102.4618537,Colorado
62681,1.95699042,39.29359798,-102.8757724,Colorado
62687,1.95426578,39.29360143,-102.6766692,Colorado
62693,1.95654565,39.29360431,-102.8739054,Colorado
62699,1.95826006,39.29361111,-102.8712743,Colorado
62705,1.9559381,39.29361597,-102.8686518,Colorado
62711,1.9526082,39.29361715,-102.6785531,Colorado
62717,1.95534415,39.29361883,-102.8664041,Colorado
62723,1.95761035,39.29362036,-102.8652823,Colorado
62729,1.95472244,39.29362147,-102.8637831,Colorado
62735,1.9562902,39.29362513,-102.4622305,Colorado
62741,1.95611501,39.29362981,-102.8585022,Colorado
62747,1.95867624,39.29363165,-102.8562256,Colorado
62753,1.94789806,39.29363324,-102.6838123,Colorado
62759,1.94955076,39.29363974,-102.6864494,Colorado
62765,1.94788584,39.29364628,-102.6883321,Colorado
62771,1.93709456,39.29365065,-103.799089,Colorado
62777,1.94943473,39.29365971,-102.6917043,Colorado
62783,1.95076771,39.29366872,-102.6946956,Colorado
62789,1.94989606,39.29367599,-102.6958199,Colorado
62795,1.95125347,39.29368148,-102.6984543,Colorado
62801,1.9519062,39.293692,-102.700709,Colorado
62807,1.95324564,39.29369417,-102.7040846,Colorado
62813,1.95325017,39.29369559,-102.7025855,Colorado
62819,1.95663875,39.29371066,-102.7070729,Colorado
62825,1.95854347,39.2937233,-102.8521203,Colorado
62831,1.95404321,39.29373528,-102.7096852,Colorado
62837,1.95395463,39.29374901,-102.7115553,Colorado
62843,1.95384853,39.29375945,-102.7126809,Colorado
62849,1.9545057,39.29378645,-102.7145673,Colorado
62855,1.95337595,39.29380267,-102.7160764,Colorado
62861,1.95247305,39.29380786,-102.7172061,Colorado
62867,1.95263882,39.29382087,-102.7190878,Colorado
62873,1.95339774,39.29382924,-102.720598,Colorado
62879,1.95683001,39.29384543,-102.8476419,Colorado
62885,1.95462538,39.29385692,-102.724003,Colorado
62891,1.95397531,39.29387246,-102.4648505,Colorado
62897,1.95070537,39.29387993,-102.7270173,Colorado
62903,1.95233811,39.29389106,-102.7285206,Colorado
62909,1.95257823,39.29390877,-102.7307762,Colorado
62915,1.95414769,39.29391721,-102.7322828,Colorado
62921,1.95215704,39.29393679,-102.6434058,Colorado
62927,1.94951654,39.29394381,-102.735276,Colorado
62933,1.9486665,39.29395952,-102.7374933,Colorado
62939,1.94645771,39.2939658,-102.7386033,Colorado
62945,1.95283625,39.29398122,-102.6426453,Colorado
62951,1.94665344,39.29399033,-102.7419646,Colorado
62957,1.94783006,39.2939965,-102.7446099,Colorado
62963,1.9566526,39.29401314,-102.8412893,Colorado
62969,1.95005946,39.29402747,-102.7468764,Colorado
62975,1.95014343,39.29404295,-102.7487489,Colorado
62981,1.94953467,39.2940522,-102.7502241,Colorado
62987,1.94996194,39.29406264,-102.440297,Colorado
62993,1.95009286,39.29407678,-102.753517,Colorado
62999,1.94799209,39.29408788,-102.7550221,Colorado
63005,1.9496138,39.29409624,-102.7561577,Colorado
63011,1.94905496,39.29410409,-102.7576713,Colorado
63017,1.95542693,39.29411582,-102.8375188,Colorado
63023,1.95403545,39.29412201,-102.467472,Colorado
